#SampleID	BarcodeSequence	LinkerPrimerSequence	FileInput	Source	Mouse	Cage	Genotype	SamplingWeek	Weight_g	Food_Intake_g	BMI_Type
4CMK6KO			4CMK6KO_S254_L001_R1_001.fastq	CJS	4		CMKLR1_KO	8	16	3.3	normal
50CMK8KO			50CMK8KO_S236_L001_R1_001.fastq	CJS	50		CMKLR1_KO	8	17	2.2	overweight
54CMK8KO			54CMK8KO_S284_L001_R1_001.fastq	CJS	54		CMKLR1_KO	8	18	1.8	overweight
56CMK8KO			56CMK8KO_S213_L001_R1_001.fastq	CJS	56		CMKLR1_KO	8	19	2.1	overweight
58CMK8KO			58CMK8KO_S237_L001_R1_001.fastq	CJS	58		CMKLR1_KO	8	16	3	normal
60CMK8KO			60CMK8KO_S261_L001_R1_001.fastq	CJS	60		CMKLR1_KO	8	17	5	overweight
62CMK8KO			62CMK8KO_S285_L001_R1_001.fastq	CJS	62		CMKLR1_KO	8	17	3	overweight
64CMK8KO			64CMK8KO_S214_L001_R1_001.fastq	CJS	64		CMKLR1_KO	8	19	4.5	overweight
65CMK8KO			65CMK8KO_S226_L001_R1_001.fastq	CJS	65		CMKLR1_KO	8	19	4.5	overweight
68CMK8KO			68CMK8KO_S262_L001_R1_001.fastq	CJS	68		CMKLR1_KO	8	17	3.6	overweight
70CMK8KO			70CMK8KO_S286_L001_R1_001.fastq	CJS	70		CMKLR1_KO	8	18	3.7	overweight
72CMK8KO			72CMK8KO_S215_L001_R1_001.fastq	CJS	72		CMKLR1_KO	8	20	3.9	overweight
74CMK8KO			74CMK8KO_S239_L001_R1_001.fastq	CJS	74		CMKLR1_KO	8	19	3.6	overweight
75CMK8KO			75CMK8KO_S251_L001_R1_001.fastq	CJS	75		CMKLR1_KO	8	19	3.2	overweight
78CMK8KO			78CMK8KO_S287_L001_R1_001.fastq	CJS	78		CMKLR1_KO	8	17	2.9	overweight
79CMK8KO			79CMK8KO_S204_L001_R1_001.fastq	CJS	79		CMKLR1_KO	8	14	3.4	overweight
7CMK6KO			7CMK6KO_S195_L001_R1_001.fastq	CJS	7		CMKLR1_KO	6	15	5.5	normal
8CMK6KO			8CMK6KO_S207_L001_R1_001.fastq	CJS	8		CMKLR1_KO	6	16	2.9	normal
9CMK6KO			9CMK6KO_S219_L001_R1_001.fastq	CJS	9		CMKLR1_KO	6	16	3.3	normal
101CHE6WT			101CHE6WT_S368_L001_R1_001.fastq	BZ	101		WT	6	20	3.4	overweight
102CHE6WT			102CHE6WT_S291_L001_R1_001.fastq	BZ	102		WT	6	20	4.4	overweight
105CHE6WT			105CHE6WT_S325_L001_R1_001.fastq	BZ	105		WT	6	18	4.5	overweight
106CHE6WT			106CHE6WT_S336_L001_R1_001.fastq	BZ	106		WT	6	18	4.6	overweight
109CHE6WT			109CHE6WT_S369_L001_R1_001.fastq	BZ	109		WT	6	19	3.9	overweight
110CHE6WT			110CHE6WT_S292_L001_R1_001.fastq	BZ	110		WT	6	19	2.6	overweight
113CHE6WT			113CHE6WT_S326_L001_R1_001.fastq	BZ	113		WT	6	18	2.9	overweight
114CHE6WT			114CHE6WT_S337_L001_R1_001.fastq	BZ	114		WT	6	17	3.9	overweight
11CMK6WT			11CMK6WT_S243_L001_R1_001.fastq	CJS	11		WT	6	16	3.9	overweight
12CMK6WT			12CMK6WT_S255_L001_R1_001.fastq	CJS	12		WT	6	19	2.8	overweight
17CMK6WT			17CMK6WT_S220_L001_R1_001.fastq	CJS	17		WT	6	19	1.9	overweight
19CMK6WT			19CMK6WT_S244_L001_R1_001.fastq	CJS	19		WT	6	20	3	overweight
1CMK6WT			1CMK6WT_S218_L001_R1_001.fastq	CJS	1		WT	6	21	3	overweight
21CMK6WT			21CMK6WT_S268_L001_R1_001.fastq	CJS	21		WT	6	15	2.9	normal
23CMK6WT			23CMK6WT_S197_L001_R1_001.fastq	CJS	23		WT	6	15	4.4	normal
26CMK6WT			26CMK6WT_S233_L001_R1_001.fastq	CJS	26		WT	6	18	3.4	overweight
27CMK6WT			27CMK6WT_S245_L001_R1_001.fastq	CJS	27		WT	6	18	4.4	overweight
29CMK6WT			29CMK6WT_S269_L001_R1_001.fastq	CJS	29		WT	6	15	5.5	normal
31CMK6WT			31CMK6WT_S198_L001_R1_001.fastq	CJS	31		WT	6	19	4.6	overweight
33CMK6WT			33CMK6WT_S222_L001_R1_001.fastq	CJS	33		WT	6	20	3.9	overweight
36CMK6WT			36CMK6WT_S258_L001_R1_001.fastq	CJS	36		WT	6	17	2	normal
37CMK6WT			37CMK6WT_S270_L001_R1_001.fastq	CJS	37		WT	6	18	3	overweight
3CMK6WT			3CMK6WT_S242_L001_R1_001.fastq	CJS	3		WT	6	19	3.4	overweight
40CMK6WT			40CMK6WT_S211_L001_R1_001.fastq	CJS	40		WT	6	20	3.5	overweight
41CMK8WT			41CMK8WT_S223_L001_R1_001.fastq	CJS	41		WT	8	15	3.5	normal
43CMK8WT			43CMK8WT_S247_L001_R1_001.fastq	CJS	43		WT	8	19	3.8	overweight
45CMK8WT			45CMK8WT_S271_L001_R1_001.fastq	CJS	45		WT	8	18	3.9	overweight
46CMK8WT			46CMK8WT_S283_L001_R1_001.fastq	CJS	46		WT	8	18	3.8	overweight
51CMK8WT			51CMK8WT_S248_L001_R1_001.fastq	CJS	51		WT	8	19	2	overweight
52CMK8WT			52CMK8WT_S260_L001_R1_001.fastq	CJS	52		WT	8	20	2	overweight
57CMK8WT			57CMK8WT_S225_L001_R1_001.fastq	CJS	57		WT	8	20	3.3	overweight
59CMK8WT			59CMK8WT_S249_L001_R1_001.fastq	CJS	59		WT	8	21	2.2	overweight
5CMK6WT			5CMK6WT_S266_L001_R1_001.fastq	CJS	5		WT	8	20	2.6	overweight
61CMK8WT			61CMK8WT_S273_L001_R1_001.fastq	CJS	61		WT	8	19	3.2	overweight
63CMK8WT			63CMK8WT_S202_L001_R1_001.fastq	CJS	63		WT	8	19	2.9	overweight
66CMK8WT			66CMK8WT_S238_L001_R1_001.fastq	CJS	66		WT	8	18	3.4	overweight
67CMK8WT			67CMK8WT_S250_L001_R1_001.fastq	CJS	67		WT	8	17	5.5	overweight
69CMK8WT			69CMK8WT_S274_L001_R1_001.fastq	CJS	69		WT	8	15	2.9	normal
6CMK6WT			6CMK6WT_S278_L001_R1_001.fastq	CJS	6		WT	8	16	3.3	overweight
71CMK8WT			71CMK8WT_S203_L001_R1_001.fastq	CJS	71		WT	8	16	3.4	overweight
73CMK8WT			73CMK8WT_S227_L001_R1_001.fastq	CJS	73		WT	8	16	4.4	overweight
76CMK8WT			76CMK8WT_S263_L001_R1_001.fastq	CJS	76		WT	8	17	4.5	overweight
77CMK8WT			77CMK8WT_S275_L001_R1_001.fastq	CJS	77		WT	8	18	3.9	overweight
80CMK8WT			80CMK8WT_S216_L001_R1_001.fastq	CJS	80		WT	8	18	3.6	overweight
81CHE6WT			81CHE6WT_S228_L001_R1_001.fastq	BZ	81		WT	6	19	3.2	overweight
82CHE6WT			82CHE6WT_S240_L001_R1_001.fastq	BZ	82		WT	6	19	2.9	overweight
85CHE6WT			85CHE6WT_S276_L001_R1_001.fastq	BZ	85		WT	6	19	3.4	overweight
86CHE6WT			86CHE6WT_S289_L001_R1_001.fastq	BZ	86		WT	6	19	3.3	overweight
89CHE6WT			89CHE6WT_S323_L001_R1_001.fastq	BZ	89		WT	6	20	2.9	overweight
90CHE6WT			90CHE6WT_S334_L001_R1_001.fastq	BZ	90		WT	6	20	3.3	overweight
93CHE6WT			93CHE6WT_S367_L001_R1_001.fastq	BZ	93		WT	6	21	3.4	overweight
94CHE6WT			94CHE6WT_S290_L001_R1_001.fastq	BZ	94		WT	6	20	3.2	overweight
97CHE6WT			97CHE6WT_S324_L001_R1_001.fastq	BZ	97		WT	6	19	4.5	overweight
98CHE6WT			98CHE6WT_S335_L001_R1_001.fastq	BZ	98		WT	6	18	3.2	overweight
